zone1_id,zone2_id,weight
190,257,1539.9548928067475
132,203,4574.487180590372
132,219,3266.7033400047258
132,216,5600.781541961682
124,132,5428.150035423374
124,216,3813.2610073232327
124,180,2082.632444742564
35,76,2732.220885464514
35,72,2152.8540303591885
35,77,1349.3634303166905
35,61,3240.48898114732
35,177,1648.204210387716
203,219,2271.967435853494
188,190,1855.5438304292786
181,257,2111.0010887090975
181,228,4140.396164564309
181,190,1867.8660908165295
181,189,1796.7817302093372
228,257,2520.0748636411904
62,188,963.9927267697735
62,190,1986.3529812987408
62,72,3475.1803897980567
62,189,2578.948183803799
61,62,1561.8549545505446
61,72,3678.323613483335
61,177,2076.3691561913347
61,189,2375.804960118521
61,225,2053.6867455106185
106,181,1009.5094357977756
106,228,3829.5103608048703
216,219,5483.967482745996
218,219,1712.292882379961
139,219,3109.2152090236277
139,218,2616.693811372547
139,203,2482.3675950058187
139,205,2921.9279468942873
10,219,3759.687254181972
10,216,2347.3983764375416
10,218,2047.3943718020112
10,205,3353.7943755154574
10,215,1723.8869304347068
180,216,2034.4446906846008
180,258,2084.7010483119684
180,197,3261.357097852694
189,190,1877.148138325709
40,195,1351.6563644072826
40,106,1012.4635625217607
40,54,1387.8815987639034
40,52,884.3335488312426
63,76,2645.946074047013
63,124,5226.030287543205
63,180,3143.397842800641
63,77,3152.5483410828533
63,177,3336.2331405641585
63,258,2145.3398482219477
63,96,1937.7169834576498
205,218,2834.2381089739124
205,215,2348.03892618758
77,177,2428.6418617732943
25,181,2034.428772313168
25,106,1673.2029002445017
25,40,1419.9145059589807
25,52,871.8777748376106
25,97,1376.6039069429373
25,33,1784.5519066608929
25,65,1082.0205464580545
49,61,3152.3000119887865
49,189,1523.4232404445954
49,97,1208.8683975466772
49,217,2044.4404008288273
177,225,2587.9439353041807
37,177,2657.843013216681
37,63,4392.322035021897
37,96,3847.0347435639055
37,225,1449.5977911386192
37,80,3308.3485531650185
54,195,1744.9605849085954
17,61,2655.5232394469726
17,225,1659.864074902395
17,49,1284.789171962167
17,217,2002.5800583751602
17,37,2366.131921766051
17,80,3593.383848529467
197,216,2866.3269943093255
197,258,2424.1290134439037
97,189,1985.3634494169426
97,181,2738.9210034280004
215,216,4071.285306872248
38,203,4341.277561198237
38,139,2539.846192760256
38,205,2322.3018951588906
38,191,2777.2734567513476
52,54,503.548049932661
36,37,939.1117232920521
36,198,1812.4019935106155
36,80,3016.9539487009365
33,52,1123.4435171715395
33,54,1504.6716024676123
33,65,706.5092130265476
33,66,1401.795916385668
65,97,1307.5770272028064
65,66,797.8366869375577
130,215,1322.082569428506
130,216,4962.119058786297
130,197,3735.2066516182035
130,205,3670.121495616086
130,131,3091.0242652700504
96,198,3216.048988240141
96,102,1027.1381867730768
96,258,2050.5852770394795
96,197,3178.9602692463795
96,134,4293.393921149703
102,198,2188.9108014670646
102,160,1954.8243598238955
102,196,3402.896653256351
34,49,2065.464237947082
34,97,1384.7511621656167
34,66,1193.8502236927277
34,217,1240.973205889143
34,256,1922.5035372443967
191,205,4244.792939554904
66,97,2050.4460640931325
12,88,335.3297548953712
12,13,1048.8436635806747
12,261,870.9556308872415
134,197,1661.6420429415016
28,130,1859.008816110734
28,134,1823.41520963432
28,131,3341.1736643124323
28,93,5534.434518809557
28,135,2759.1439634777703
28,121,2312.182725293388
122,205,2307.0839690892026
122,191,1937.708970465701
122,130,3046.1576622559055
122,131,2184.684868353317
87,88,671.4076575467742
87,209,525.9622987198909
87,261,654.5486342839481
87,231,1247.7610732435835
80,217,2833.732619662807
80,256,2152.202288307553
80,198,3492.733117395967
80,157,3424.1216053083426
80,255,1856.8947259521806
80,112,2484.8034829331073
80,226,3351.811623075027
88,261,751.2330571877627
13,261,541.2139685140027
13,231,1224.5188573933567
217,256,868.5431907736848
95,102,3997.5301303727865
95,96,4427.30842311445
95,134,2844.75776564866
95,196,1646.054427709056
160,198,2862.987008920898
160,196,2065.2089638383536
45,209,771.1092262411896
45,232,1334.582878174043
45,231,1286.9511369068136
45,148,1239.8674537026886
45,144,1026.3688757863617
209,231,1269.6921670382876
231,261,1328.670460114732
255,256,1059.7239729157586
157,198,1988.5794271699615
157,160,2222.665868813131
157,226,3122.7940065326347
157,260,2537.010638763832
148,232,1030.93817780084
93,134,4500.216435608603
93,95,2628.1660532706064
93,135,2775.290555331787
93,192,2175.425884739544
93,253,2247.910525778903
93,173,2910.0199464227408
144,148,647.6874607906915
144,231,1130.5517221876144
144,211,664.0730101794126
121,135,1345.6782735315294
121,131,2738.1324871779593
121,192,2630.174458210641
211,231,1134.1043263795718
4,232,1436.9108873675593
4,79,1071.8122397013801
4,224,924.5201636957624
112,255,1754.43793217961
112,226,2689.8520062872117
112,145,1813.074371083072
131,191,3050.5234061615106
131,175,3986.2273519974137
79,232,1642.6720243946484
79,148,1320.842964831187
79,114,898.3181963696886
79,113,1150.185951795816
79,224,1135.3035107034893
79,107,1159.1904839505787
125,231,976.1802997851966
125,211,692.6760599060742
125,158,1080.444937701678
125,249,1251.8633631557286
98,131,1619.1808720736199
98,121,2483.3349588256624
98,175,2531.8833321907955
19,191,3293.2532544160877
19,101,2286.934667286392
19,175,2799.3213298002565
19,64,3703.585171496243
114,148,1510.052042963497
114,144,862.3645821728054
114,211,792.786252191901
114,249,1086.8950282066612
113,114,691.6627809159705
113,249,835.027272780534
